,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,"studytime, granular",higher,internet,romantic,famrel,freetime,goout,health,absences,score
0,GP,F,18,U,GT3,A,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,True,False,False,False,True,-6.0,True,True,False,4.0,3.0,4.0,3.0,6.0,30.0
1,GP,F,17,U,GT3,T,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,False,True,False,False,False,-6.0,True,True,False,5.0,3.0,3.0,3.0,4.0,30.0
2,GP,F,15,U,LE3,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,3.0,True,False,False,False,True,-6.0,True,True,False,4.0,3.0,2.0,3.0,10.0,50.0
3,GP,F,15,U,GT3,T,4.0,2.0,health,other,home,mother,1.0,3.0,0.0,False,True,True,True,True,-9.0,True,True,True,3.0,2.0,2.0,5.0,2.0,75.0
4,GP,F,16,U,GT3,T,3.0,3.0,other,other,home,father,1.0,2.0,0.0,False,True,True,False,True,-6.0,True,False,False,4.0,3.0,2.0,5.0,4.0,50.0
5,GP,M,16,U,LE3,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,False,True,True,True,True,-6.0,True,True,False,5.0,4.0,2.0,5.0,10.0,75.0
6,GP,M,16,U,LE3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,False,False,False,False,True,-6.0,True,True,False,4.0,4.0,4.0,3.0,0.0,55.0
7,GP,F,17,U,GT3,A,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,True,True,False,False,True,-6.0,True,False,False,4.0,1.0,4.0,1.0,6.0,30.0
8,GP,M,15,U,LE3,A,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,False,True,True,False,True,-6.0,True,True,False,4.0,2.0,2.0,1.0,0.0,95.0
9,GP,M,15,U,GT3,T,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,False,True,True,True,True,-6.0,True,True,False,5.0,5.0,1.0,5.0,0.0,75.0
10,GP,F,15,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,False,True,True,False,True,-6.0,True,True,False,3.0,3.0,3.0,2.0,0.0,45.0
11,GP,F,15,U,GT3,A,2.0,4.0,services,other,reputation,father,3.0,3.0,0.0,False,True,False,True,True,-9.0,True,True,False,5.0,2.0,2.0,4.0,4.0,60.0
12,GP,M,15,U,LE3,T,4.0,4.0,health,services,course,father,1.0,1.0,0.0,False,True,True,True,True,-3.0,True,True,False,4.0,3.0,3.0,5.0,2.0,70.0
13,GP,M,15,U,GT3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,False,True,True,False,True,-6.0,True,True,False,5.0,4.0,3.0,3.0,2.0,55.0
14,GP,M,15,U,GT3,A,2.0,2.0,other,other,home,other,1.0,3.0,0.0,False,True,False,False,True,-9.0,True,True,True,4.0,5.0,2.0,3.0,0.0,80.0
15,GP,F,16,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,False,True,False,False,True,-3.0,True,True,False,4.0,4.0,4.0,2.0,4.0,70.0
16,GP,F,16,U,GT3,T,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,False,True,True,True,True,-9.0,True,True,False,3.0,2.0,3.0,2.0,6.0,70.0
17,GP,F,16,U,GT3,T,3.0,3.0,other,other,reputation,mother,3.0,2.0,0.0,True,True,False,True,True,-6.0,True,False,False,5.0,3.0,2.0,4.0,4.0,50.0
18,GP,M,17,U,GT3,T,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,False,True,False,True,True,-3.0,True,True,False,5.0,5.0,5.0,5.0,16.0,25.0
19,GP,M,16,U,LE3,T,4.0,3.0,health,other,home,father,1.0,1.0,0.0,False,False,False,True,True,-3.0,True,True,False,3.0,1.0,3.0,5.0,4.0,50.0
20,GP,M,15,U,GT3,T,4.0,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,False,False,False,False,True,-6.0,True,True,False,4.0,4.0,1.0,1.0,0.0,75.0
21,GP,M,15,U,GT3,T,4.0,4.0,health,health,other,father,1.0,1.0,3.0,False,True,False,False,True,-3.0,True,True,False,5.0,4.0,2.0,5.0,0.0,75.0
22,GP,M,16,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,False,True,False,True,True,-6.0,True,True,False,4.0,5.0,1.0,5.0,2.0,80.0
23,GP,M,16,U,LE3,T,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,False,True,False,True,True,-6.0,True,True,False,5.0,4.0,4.0,5.0,0.0,60.0
24,GP,F,15,R,GT3,T,2.0,4.0,services,health,course,mother,1.0,3.0,0.0,True,True,True,True,True,-9.0,True,True,False,4.0,3.0,2.0,5.0,2.0,40.0
25,GP,F,16,U,GT3,T,2.0,2.0,services,services,home,mother,1.0,1.0,2.0,False,True,True,False,False,-3.0,True,True,False,1.0,2.0,2.0,5.0,14.0,40.0
26,GP,M,15,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,1.0,0.0,False,True,False,False,True,-3.0,True,True,False,4.0,2.0,2.0,5.0,2.0,55.0
27,GP,M,15,U,GT3,T,4.0,2.0,health,services,other,mother,1.0,1.0,0.0,False,False,True,False,True,-3.0,True,True,False,2.0,2.0,4.0,1.0,4.0,75.0
28,GP,M,16,U,LE3,T,3.0,4.0,services,other,home,mother,1.0,2.0,0.0,True,True,False,True,True,-6.0,True,True,False,5.0,3.0,3.0,5.0,4.0,55.0
29,GP,M,16,U,GT3,T,4.0,4.0,teacher,teacher,home,mother,1.0,2.0,0.0,False,True,True,True,True,-6.0,True,True,True,4.0,4.0,5.0,5.0,16.0,55.0
30,GP,M,15,U,GT3,T,4.0,4.0,health,services,home,mother,1.0,2.0,0.0,False,True,True,False,False,-6.0,True,True,False,5.0,4.0,2.0,3.0,0.0,60.0
31,GP,M,15,U,GT3,T,4.0,4.0,services,other,reputation,mother,2.0,2.0,0.0,False,True,False,True,True,-6.0,True,True,False,4.0,3.0,1.0,5.0,0.0,85.0
32,GP,M,15,R,GT3,T,4.0,3.0,teacher,at_home,course,mother,1.0,2.0,0.0,False,True,False,True,True,-6.0,True,True,True,4.0,2.0,2.0,5.0,0.0,80.0
33,GP,M,15,U,LE3,T,3.0,3.0,other,other,home,mother,1.0,2.0,0.0,False,True,False,True,False,-6.0,True,True,False,5.0,3.0,2.0,2.0,0.0,60.0
34,GP,M,16,U,GT3,T,3.0,2.0,other,other,home,mother,1.0,1.0,0.0,False,True,True,False,False,-3.0,True,True,False,5.0,4.0,3.0,5.0,0.0,75.0
35,GP,F,15,U,GT3,T,2.0,3.0,other,other,other,father,1.0,1.0,0.0,False,True,False,True,True,-3.0,True,False,False,3.0,5.0,1.0,5.0,0.0,30.0
36,GP,M,15,U,GT3,T,4.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,False,True,False,True,True,-9.0,True,True,False,5.0,4.0,3.0,4.0,2.0,90.0
37,GP,M,16,R,GT3,A,4.0,4.0,other,teacher,reputation,mother,2.0,3.0,0.0,False,True,False,True,True,-9.0,True,True,True,2.0,4.0,3.0,5.0,7.0,75.0
38,GP,F,15,R,GT3,T,3.0,4.0,services,health,course,mother,1.0,3.0,0.0,True,True,True,True,True,-9.0,True,True,False,4.0,3.0,2.0,5.0,2.0,55.0
39,GP,F,15,R,GT3,T,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,True,True,True,True,True,-3.0,True,False,False,4.0,3.0,1.0,2.0,8.0,65.0
40,GP,F,16,U,LE3,T,2.0,2.0,other,other,home,mother,2.0,2.0,1.0,False,True,False,True,False,-6.0,True,True,True,3.0,3.0,3.0,3.0,25.0,55.0
41,GP,M,15,U,LE3,T,4.0,4.0,teacher,other,home,mother,1.0,1.0,0.0,False,True,False,False,False,-3.0,True,True,False,5.0,4.0,3.0,5.0,8.0,60.0
42,GP,M,15,U,GT3,T,4.0,4.0,services,teacher,course,father,1.0,2.0,0.0,False,True,False,True,True,-6.0,True,True,False,4.0,3.0,3.0,5.0,2.0,90.0
43,GP,M,15,U,GT3,T,2.0,2.0,services,services,course,father,1.0,1.0,0.0,True,True,False,False,True,-3.0,True,True,False,4.0,4.0,1.0,1.0,0.0,55.0
44,GP,F,16,U,LE3,T,2.0,2.0,other,other,course,father,2.0,2.0,1.0,True,False,False,True,True,-6.0,True,True,False,4.0,3.0,3.0,5.0,14.0,45.0
45,GP,F,15,U,LE3,A,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,True,True,True,True,True,-6.0,True,True,True,5.0,2.0,2.0,5.0,8.0,30.0
46,GP,F,16,U,LE3,A,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,False,True,False,False,True,-6.0,True,True,False,2.0,3.0,5.0,3.0,12.0,55.0
47,GP,M,16,U,GT3,T,4.0,3.0,health,other,reputation,mother,1.0,4.0,0.0,False,False,False,True,True,-12.0,True,True,False,4.0,2.0,2.0,2.0,4.0,100.0
48,GP,M,15,U,GT3,T,4.0,2.0,teacher,other,home,mother,1.0,2.0,0.0,False,True,True,False,True,-6.0,True,False,False,4.0,3.0,3.0,5.0,2.0,70.0
49,GP,F,15,U,GT3,T,4.0,4.0,services,teacher,other,mother,1.0,2.0,1.0,True,True,False,True,False,-6.0,True,True,False,4.0,4.0,4.0,3.0,2.0,35.0
50,GP,F,16,U,LE3,T,2.0,2.0,services,services,course,mother,3.0,2.0,0.0,False,True,True,False,True,-6.0,True,True,False,4.0,3.0,3.0,4.0,2.0,65.0
51,GP,F,15,U,LE3,T,4.0,2.0,health,other,other,mother,1.0,2.0,0.0,False,True,False,False,True,-6.0,True,True,False,4.0,3.0,3.0,5.0,2.0,65.0
52,GP,M,15,U,LE3,A,4.0,2.0,health,other,other,father,2.0,1.0,1.0,False,True,False,False,True,-3.0,True,True,False,5.0,5.0,5.0,5.0,6.0,50.0
53,GP,F,15,U,GT3,T,4.0,4.0,services,services,course,mother,1.0,1.0,0.0,True,True,True,False,True,-3.0,True,True,False,3.0,3.0,4.0,5.0,0.0,55.0
54,GP,F,15,U,LE3,T,3.0,3.0,services,other,other,mother,1.0,1.0,0.0,False,False,True,True,True,-3.0,True,True,False,5.0,3.0,4.0,1.0,6.0,65.0
55,GP,F,16,U,GT3,A,2.0,1.0,other,other,other,mother,1.0,2.0,0.0,False,False,True,True,True,-6.0,True,True,True,5.0,3.0,4.0,5.0,8.0,50.0
56,GP,F,15,U,GT3,A,4.0,3.0,services,services,reputation,mother,1.0,2.0,0.0,False,True,True,True,True,-6.0,True,True,False,4.0,3.0,2.0,1.0,0.0,75.0
57,GP,M,15,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,False,True,False,True,True,-6.0,True,False,False,3.0,2.0,2.0,5.0,4.0,75.0
58,GP,M,15,U,LE3,T,1.0,2.0,other,at_home,home,father,1.0,2.0,0.0,True,True,False,True,True,-6.0,True,True,False,4.0,3.0,2.0,5.0,2.0,45.0
59,GP,F,16,U,GT3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,False,True,False,False,True,-6.0,True,True,False,4.0,2.0,3.0,5.0,2.0,80.0
60,GP,F,16,R,GT3,T,4.0,4.0,health,teacher,other,mother,1.0,2.0,0.0,False,True,False,True,True,-6.0,True,False,False,2.0,4.0,4.0,4.0,6.0,55.0
61,GP,F,16,U,GT3,T,1.0,1.0,services,services,course,father,4.0,1.0,0.0,True,False,False,True,False,-3.0,True,True,True,5.0,5.0,5.0,5.0,6.0,55.0
62,GP,F,16,U,LE3,T,1.0,2.0,other,services,reputation,father,1.0,2.0,0.0,True,False,False,True,True,-6.0,True,True,False,4.0,4.0,3.0,1.0,4.0,45.0
63,GP,F,16,U,GT3,T,4.0,3.0,teacher,health,course,mother,1.0,3.0,0.0,True,True,True,True,True,-9.0,True,True,False,3.0,4.0,4.0,4.0,2.0,45.0
64,GP,F,15,U,LE3,T,4.0,3.0,services,services,reputation,father,1.0,2.0,0.0,True,False,False,True,True,-6.0,True,True,True,4.0,4.0,4.0,2.0,0.0,50.0
65,GP,F,16,U,LE3,T,4.0,3.0,teacher,services,course,mother,3.0,2.0,0.0,False,True,False,True,True,-6.0,True,True,False,5.0,4.0,3.0,1.0,2.0,75.0
66,GP,M,15,U,GT3,A,4.0,4.0,other,services,reputation,mother,1.0,4.0,0.0,False,True,False,True,False,-12.0,True,True,True,1.0,3.0,3.0,3.0,4.0,60.0
67,GP,F,16,U,GT3,T,3.0,2.0,services,other,course,mother,1.0,4.0,0.0,True,True,True,False,True,-12.0,True,True,False,4.0,3.0,3.0,5.0,4.0,30.0
68,GP,F,15,R,LE3,T,2.0,2.0,health,other,reputation,mother,2.0,2.0,0.0,True,True,False,False,True,-6.0,True,True,False,4.0,1.0,3.0,4.0,2.0,40.0
69,GP,F,15,R,LE3,T,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,False,True,False,False,False,-12.0,True,True,False,4.0,4.0,2.0,3.0,12.0,80.0
70,GP,M,16,U,GT3,T,3.0,1.0,other,other,reputation,father,1.0,4.0,0.0,False,True,True,False,True,-12.0,True,True,False,4.0,3.0,2.0,5.0,0.0,75.0
71,GP,M,15,U,GT3,T,4.0,2.0,other,other,course,mother,1.0,4.0,0.0,False,False,False,False,True,-12.0,True,True,False,3.0,3.0,3.0,3.0,0.0,50.0
72,GP,F,15,R,GT3,T,1.0,1.0,other,other,reputation,mother,1.0,2.0,2.0,True,True,False,False,False,-6.0,True,True,True,4.0,3.0,4.0,5.0,2.0,25.0
73,GP,M,16,U,GT3,T,3.0,1.0,other,other,other,mother,1.0,1.0,0.0,False,False,False,True,True,-3.0,True,False,False,4.0,3.0,2.0,5.0,2.0,70.0
74,GP,F,16,U,GT3,T,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,True,True,True,True,True,-6.0,True,True,False,4.0,3.0,3.0,5.0,54.0,55.0
75,GP,M,15,U,GT3,T,4.0,3.0,teacher,other,home,mother,1.0,2.0,0.0,False,True,True,True,True,-6.0,True,True,False,4.0,3.0,3.0,5.0,6.0,50.0
76,GP,M,15,U,GT3,T,4.0,0.0,teacher,other,course,mother,2.0,4.0,0.0,False,False,False,True,True,-12.0,True,True,False,3.0,4.0,3.0,1.0,8.0,50.0
77,GP,F,16,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,4.0,0.0,False,False,True,False,True,-12.0,True,True,True,5.0,2.0,3.0,3.0,0.0,55.0
78,GP,M,17,U,GT3,T,2.0,1.0,other,other,home,mother,2.0,1.0,3.0,True,False,False,True,True,-3.0,False,True,False,4.0,5.0,1.0,3.0,2.0,50.0
79,GP,F,16,U,GT3,T,3.0,4.0,at_home,other,course,mother,1.0,2.0,0.0,False,True,False,False,True,-6.0,True,True,False,2.0,4.0,3.0,3.0,12.0,25.0
80,GP,M,15,U,GT3,T,2.0,3.0,other,services,course,father,1.0,1.0,0.0,True,True,True,True,False,-3.0,True,True,True,3.0,2.0,2.0,3.0,2.0,60.0
81,GP,M,15,U,GT3,T,2.0,3.0,other,other,home,mother,1.0,3.0,0.0,True,False,False,True,False,-9.0,True,True,False,5.0,3.0,2.0,5.0,4.0,55.0
82,GP,F,15,U,LE3,T,3.0,2.0,services,other,reputation,mother,1.0,2.0,0.0,False,True,False,False,True,-6.0,True,True,False,4.0,4.0,4.0,5.0,10.0,30.0
83,GP,M,15,U,LE3,T,2.0,2.0,services,services,home,mother,2.0,2.0,0.0,False,False,True,True,True,-6.0,True,True,False,5.0,3.0,3.0,4.0,4.0,75.0
84,GP,F,15,U,GT3,T,1.0,1.0,other,other,home,father,1.0,2.0,0.0,False,True,False,True,False,-6.0,True,True,False,4.0,3.0,2.0,4.0,2.0,50.0
85,GP,F,15,U,GT3,T,4.0,4.0,services,services,reputation,father,2.0,2.0,2.0,False,False,True,False,True,-6.0,True,True,True,4.0,4.0,4.0,5.0,6.0,40.0
86,GP,F,16,U,LE3,T,2.0,2.0,at_home,other,course,mother,1.0,2.0,0.0,False,True,False,False,True,-6.0,True,True,False,4.0,3.0,4.0,2.0,4.0,30.0
87,GP,F,15,U,GT3,T,4.0,2.0,other,other,reputation,mother,1.0,3.0,0.0,False,True,False,True,True,-9.0,True,True,False,5.0,3.0,3.0,1.0,4.0,70.0
88,GP,M,16,U,GT3,T,2.0,2.0,other,other,reputation,father,2.0,2.0,1.0,False,False,True,True,True,-6.0,True,True,False,4.0,4.0,2.0,5.0,12.0,50.0
89,GP,M,16,U,LE3,A,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,False,True,False,False,True,-6.0,True,False,False,4.0,1.0,1.0,5.0,18.0,35.0
90,GP,F,16,U,GT3,T,3.0,3.0,other,other,home,mother,1.0,3.0,0.0,False,True,True,False,True,-9.0,True,True,True,4.0,3.0,3.0,4.0,0.0,40.0
91,GP,F,15,U,GT3,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,False,False,True,True,True,-6.0,True,True,False,4.0,5.0,5.0,1.0,4.0,90.0
92,GP,F,16,U,LE3,T,2.0,1.0,other,other,home,father,1.0,2.0,0.0,True,True,False,False,True,-6.0,True,False,False,3.0,3.0,3.0,2.0,4.0,30.0
93,GP,F,16,U,GT3,T,4.0,2.0,teacher,services,home,mother,2.0,2.0,0.0,False,True,True,True,True,-6.0,True,True,False,5.0,3.0,3.0,1.0,0.0,50.0
94,GP,M,15,U,LE3,T,2.0,2.0,services,health,reputation,mother,1.0,4.0,0.0,False,True,False,True,True,-12.0,True,True,False,4.0,3.0,4.0,4.0,6.0,70.0
95,GP,F,15,R,GT3,T,1.0,1.0,at_home,other,home,mother,2.0,4.0,1.0,True,True,True,True,True,-12.0,True,True,False,3.0,1.0,2.0,1.0,2.0,50.0
96,GP,M,16,U,GT3,T,4.0,3.0,services,other,reputation,mother,2.0,1.0,0.0,True,True,False,True,False,-3.0,True,True,False,3.0,3.0,3.0,4.0,2.0,75.0
97,GP,F,16,U,GT3,T,2.0,1.0,other,other,course,mother,1.0,2.0,0.0,False,True,True,False,True,-6.0,True,False,True,4.0,3.0,5.0,5.0,2.0,50.0
98,GP,F,16,U,GT3,T,4.0,4.0,other,other,reputation,mother,1.0,1.0,0.0,False,True,False,True,False,-3.0,True,True,False,5.0,3.0,4.0,1.0,6.0,70.0
99,GP,F,16,U,GT3,T,4.0,3.0,other,at_home,course,mother,1.0,3.0,0.0,True,True,True,False,True,-9.0,True,True,False,5.0,3.0,5.0,3.0,0.0,40.0
100,GP,M,16,U,GT3,T,4.0,4.0,services,services,other,mother,1.0,1.0,0.0,True,True,True,True,True,-3.0,True,True,False,4.0,5.0,5.0,4.0,14.0,25.0
101,GP,M,16,U,GT3,T,4.0,4.0,services,teacher,other,father,1.0,3.0,0.0,False,True,False,True,True,-9.0,True,True,True,4.0,4.0,3.0,4.0,4.0,85.0
102,GP,M,15,U,GT3,T,4.0,4.0,services,other,course,mother,1.0,1.0,0.0,False,True,False,True,False,-3.0,True,True,False,4.0,3.0,3.0,5.0,4.0,70.0
103,GP,F,15,U,GT3,T,3.0,2.0,services,other,home,mother,2.0,2.0,0.0,True,True,True,False,True,-6.0,True,True,False,4.0,3.0,5.0,2.0,26.0,30.0
104,GP,M,15,U,GT3,A,3.0,4.0,services,other,course,mother,1.0,2.0,0.0,False,True,False,True,True,-6.0,True,True,False,5.0,4.0,4.0,1.0,0.0,90.0
105,GP,F,15,U,GT3,A,3.0,3.0,other,health,reputation,father,1.0,4.0,0.0,True,False,False,False,True,-12.0,True,False,False,4.0,3.0,3.0,4.0,10.0,55.0
106,GP,F,15,U,GT3,T,2.0,2.0,other,other,course,mother,1.0,4.0,0.0,True,True,True,False,True,-12.0,True,True,False,5.0,1.0,2.0,3.0,8.0,40.0
107,GP,M,16,U,GT3,T,3.0,3.0,services,other,home,father,1.0,3.0,0.0,False,True,False,True,True,-9.0,True,True,False,5.0,3.0,3.0,5.0,2.0,90.0
108,GP,M,15,R,GT3,T,4.0,4.0,other,other,home,father,4.0,4.0,0.0,False,True,True,True,True,-12.0,True,True,True,1.0,3.0,5.0,1.0,6.0,65.0
109,GP,F,16,U,LE3,T,4.0,4.0,health,health,other,mother,1.0,3.0,0.0,False,True,True,True,True,-9.0,True,True,True,5.0,4.0,5.0,4.0,4.0,80.0
110,GP,M,15,U,LE3,A,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,False,False,False,True,True,-3.0,True,True,False,5.0,5.0,3.0,4.0,6.0,95.0
111,GP,F,16,R,GT3,T,3.0,3.0,services,other,reputation,father,1.0,3.0,1.0,True,True,False,True,True,-9.0,True,True,False,4.0,1.0,2.0,2.0,0.0,50.0
112,GP,F,16,U,GT3,T,2.0,2.0,at_home,other,home,mother,1.0,2.0,1.0,True,False,False,True,True,-6.0,True,True,False,3.0,1.0,2.0,5.0,6.0,65.0
113,GP,M,15,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,1.0,0.0,False,False,False,False,True,-3.0,True,True,False,3.0,5.0,2.0,3.0,10.0,95.0
114,GP,M,15,R,GT3,T,2.0,1.0,health,services,reputation,mother,1.0,2.0,3.0,False,False,False,True,True,-6.0,True,True,True,5.0,4.0,2.0,5.0,8.0,45.0
115,GP,M,16,U,GT3,T,4.0,4.0,teacher,teacher,course,father,1.0,2.0,0.0,False,True,False,True,True,-6.0,True,True,False,5.0,4.0,4.0,5.0,2.0,80.0
116,GP,M,15,U,GT3,T,4.0,4.0,other,teacher,reputation,father,2.0,2.0,0.0,False,True,False,True,True,-6.0,True,False,False,4.0,4.0,3.0,2.0,2.0,70.0
117,GP,M,16,U,GT3,T,3.0,3.0,other,services,home,father,2.0,1.0,0.0,False,False,False,True,True,-3.0,True,True,False,5.0,4.0,2.0,5.0,0.0,65.0
118,GP,M,17,R,GT3,T,1.0,3.0,other,other,course,father,3.0,2.0,1.0,False,True,False,True,True,-6.0,True,False,False,4.0,2.0,4.0,5.0,20.0,40.0
119,GP,M,15,U,GT3,T,3.0,4.0,other,other,reputation,father,1.0,1.0,0.0,False,False,False,False,True,-3.0,True,True,False,3.0,4.0,3.0,4.0,6.0,65.0
120,GP,F,15,U,GT3,T,1.0,2.0,at_home,other,course,mother,1.0,2.0,0.0,False,False,False,False,False,-6.0,True,True,False,3.0,2.0,3.0,1.0,2.0,75.0
121,GP,M,15,U,GT3,T,2.0,2.0,services,services,home,father,1.0,4.0,0.0,False,True,True,True,True,-12.0,True,True,False,5.0,5.0,4.0,5.0,6.0,75.0
122,GP,F,16,U,LE3,T,2.0,4.0,other,health,course,father,2.0,2.0,0.0,False,True,True,True,True,-6.0,True,True,True,4.0,2.0,2.0,5.0,2.0,65.0
123,GP,M,16,U,GT3,T,4.0,4.0,health,other,course,mother,1.0,1.0,0.0,False,True,False,True,True,-3.0,True,True,False,3.0,4.0,4.0,5.0,18.0,65.0
124,GP,F,16,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,False,False,True,False,True,-6.0,True,True,True,5.0,4.0,4.0,5.0,0.0,40.0
125,GP,M,15,U,GT3,T,3.0,4.0,services,services,home,father,1.0,1.0,0.0,True,False,False,False,True,-3.0,True,True,False,5.0,5.0,5.0,5.0,0.0,60.0
126,GP,F,15,U,LE3,A,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,True,False,False,True,True,-6.0,True,True,True,5.0,3.0,2.0,1.0,0.0,55.0
127,GP,F,19,U,GT3,T,0.0,1.0,at_home,other,course,other,1.0,2.0,3.0,False,True,False,False,False,-6.0,False,False,False,3.0,4.0,2.0,5.0,2.0,45.0
128,GP,M,18,R,GT3,T,2.0,2.0,other,other,reputation,mother,1.0,1.0,2.0,False,True,False,True,True,-3.0,True,True,False,3.0,3.0,3.0,4.0,0.0,0.0
129,GP,M,16,R,GT3,T,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,False,False,True,True,True,-3.0,True,True,False,3.0,5.0,5.0,4.0,6.0,90.0
130,GP,F,15,R,GT3,T,3.0,4.0,services,teacher,course,father,2.0,3.0,2.0,False,True,False,False,True,-9.0,True,True,True,4.0,2.0,2.0,5.0,0.0,0.0
